ID,District,County,Route,BackPM,AheadPM,EA,EFIS,TYP,RTL Award,Activity Category,Support Cost ($K),R/W Capital ($K),Construction Capital ($K),Total ($K),Status,Activity/Project Location
MB000107,1,HUM,101,60.5,60.5,43830,100020140.0,2017.0,,Facilities (201.351),60,0,55,115,Active,IN HUMBOLDT COUNTY IN FORTUNA AT THE FORTUNA MAINTENANCE STATION
MB000108,1,HUM,36,21.8,21.8,0G290,116000166.0,2017.0,,Safety - Collision Reduction (201.015),60,0,137,197,Active,IN HUMBOLDT COUNTY NEAR BRIDGEVILLE AT 0.3 MILE EAST OF GOLDEN GATE DRIVE
MA000119,1,MEN,101,63.9,R105.9,48420,117000019.0,,04/07/21,Drainage (201.151),0,0,0,0,Active,"In Mendocino County, at various locations. Culvert rehabilitation."
MB000129,1,HUM,101,93.8,94.5,0F380,115000119.0,2017.0,,Safety - Collision Reduction (201.015),200,0,248,448,Active,IN HUMBOLDT COUNTY NEAR MCKINLEYVILLE FROM 0.2 MI SOUTH TO 0.3 MILE NORTH OF THE AIRPORT ROAD UNDERCROSSING #4-169
MB000130,1,HUM,36,23.33,42.85,49200,114000049.0,2017.0,,Drainage (201.151),100,0,210,310,Active,IN HUMBOLDT COUNTY ON ROUTE 36 AT FIVE LOCATIONS FROM 2.0 MILES WEST OF GOLDEN GATE DRIVE TO 0.5 MILES WEST OF DINSMORE AIRPORT ROAD
MB000131,1,MEN,1,67.55,67.55,0G250,116000146.0,2017.0,,Drainage (201.151),100,0,147,247,Active,IN MENDOCINO COUNTY NEAR FORT BRAGG AT 0.5 MI NORTH OF SIMPSON ROAD
MB000133,1,DN,101,26.18,26.81,0G490,117000010.0,2017.0,,Major Damage - Emergency Opening (201.130),60,0,284,344,Active,IN DEL NORTE COUNTY AT VARIOUS LOCATIONS.
MB000134,1,DN,101,27.0,27.0,0H290,117000156.0,2017.0,,Major Damage - Emergency Opening (201.130),10,0,14,24,Active,IN DEL NORTE COUNTY IN CRESCENT CITY AT THE CRESCENT CITY MAINTENANCE STATION.
MB000135,1,DN,199,4.0,37.0,0H510,117000231.0,2017.0,,Major Damage - Emergency Opening (201.130),75,15,250,340,Active,IN DEL NORTE COUNTY NEAR HIOUCHI FROM 0.1 MI SOUTH OF SMITH RIVER BRIDGE #1-6 TO THE CALIFORNIA-OREGON BORDER.
MB000136,1,DN,199,26.89,26.89,0G990,117000083.0,2017.0,,Major Damage - Emergency Opening (201.130),45,10,200,255,Active,IN DEL NORTE COUNTY NEAR IDLEWILD AT 1.2 MILES SOUTH OF IDLEWILD MAINT STA RD.
MB000137,1,HUM,96,43.78,43.78,0G470,117000007.0,2017.0,,Major Damage - Emergency Opening (201.130),75,10,291,376,Active,IN HUMBOLDT COUNTY NEAR SOMES BAR AT 1.6 MILES WEST OF SALMON RIVER BRIDGE #02-0177.
MB000138,1,HUM,101,77.3,77.4,0H540,117000234.0,2017.0,,Major Damage - Emergency Opening (201.130),35,0,190,225,Active,IN HUMBOLDT COUNTY IN EUREKA AT THE CALTRANS DISTRICT OFFICE.
MB000139,1,HUM,299,0.70,0.72,48240,100000396.0,2017.0,,Major Damage - Emergency Opening (201.130),0,70,0,70,Active,IN HUMBOLDT COUNTY IN ARCATA ON GIUNTOLI LANE 0.2 MILE WEST OF GIUNTOLI LANE OVERCROSSING.
MB000140,1,HUM,299,24.2,24.2,0H430,117000172.0,2017.0,,Major Damage - Emergency Opening (201.130),125,10,290,425,Active,IN HUMBOLDT COUNTY ABOUT 14 MILES WEST OF WILLOW CREEK AT 0.4 MI WEST OF CHEZEM RD 6L200.
MB000141,1,LAK,20,17.0,17.4,0H530,117000233.0,2017.0,,Major Damage - Emergency Opening (201.130),65,5,125,195,Active,IN LAKE COUNTY NEAR LUCERNE FROM THIRD ST-RD 307D TO ELEVENTH ST-RD 307M.
MB000142,1,LAK,53,1.0,3.5,0H520,117000232.0,2017.0,,Major Damage - Emergency Opening (201.130),70,0,170,240,Active,IN LAKE COUNTY IN CLEARLAKE AT 0.1 MILE NORTH OF 18TH STREET-ROAD 213 DN.
MB000143,1,MEN,1,31.35,31.35,0H480,117000228.0,2017.0,,Major Damage - Emergency Opening (201.130),100,10,200,310,Active,IN MENDOCINO COUNTY NEAR ELK AT ELK CREEK BRIDGE.
MB000145,1,MEN,1,90.0,103.3,0H500,117000230.0,2017.0,,Major Damage - Emergency Opening (201.130),75,10,290,375,Active,IN MENDOCINO COUNTY NEAR ROCKPORT FROM 0.6 MI SOUTH OF COTTONEVA CREEK #10-147 TO 1.8 MILES SOUTH OF MILL BANK RESORT.
MB000147,1,MEN,271,20.56,20.56,0G570,117000021.0,2017.0,,Major Damage - Emergency Opening (201.130),30,0,100,130,Active,IN MENDOCINO COUNTY ON ROUTE 271 AT 2.0 MILES SOUTH OF SOUTH FORK EEL RIVER BRIDGE #10-37.
MB000148,1,DN,101,27.0,27.0,0J150,118000176.0,2017.0,,Major Damage - Emergency Opening (201.130),70,0,123,193,Active,IN DEL NORTE COUNTY IN CRESCENT CITY AT THE CRESCENT CITY MAINTENANCE STATION.
MB000149,1,HUM,101,77.3,77.3,0J020,118000144.0,2017.0,,Major Damage - Emergency Opening (201.130),60,0,314,374,Active,IN HUMBOLDT COUNTY IN EUREKA AT THE EUREKA DISTRICT OFFICE.
MB000150,1,HUM,101,0,0,0J130,118000174.0,2017.0,,Major Damage - Emergency Opening (201.130),20,0,33,53,Active,IN HUMBOLDT COUNTY AT BRACUT MAINTENANCE STATION AND AT WILLOW CREEK MAINTENANCE STATION.
MB000152,1,MEN,1,42.4,43.3,0H870,118000120.0,2017.0,,Major Damage - Emergency Opening (201.130),100,0,250,350,Active,IN MENDOCINO COUNTY NEAR NAVARRO FROM NAVARRO RIDGE RD #518 TO 0.2 MI SOUTH OF SPRING GROVE RD #401.
MB000153,1,MEN,20,14.89,14.89,0H890,118000123.0,2017.0,,Major Damage - Emergency Opening (201.130),20,0,60,80,Active,IN MENDOCINO COUNTY NEAR NAVARRO FROM NAVARRO RIDGE RD #518 TO 0.2 MI SOUTH OF SPRING GROVE RD #401.
MB000155,1,MEN,101,27.4,27.4,0H680,118000069.0,2017.0,,Major Damage - Emergency Opening (201.130),0,0,25,25,Active,IN MENDOCINO COUNTY IN UKIAH AT THE UKIAH MAINTENANCE STATION.
MB000156,1,MEN,101,27.4,27.4,0H920,118000128.0,2017.0,,Major Damage - Emergency Opening (201.130),50,0,200,250,Active,IN MENDOCINO COUNTY IN UKIAH AT THE UKIAH MAINTENANCE STATION.
MB000158,1,LAK,20,0,0,0H750,118000090.0,2017.0,,Major Damage - Emergency Opening (201.130),50,0,200,250,Active,"IN DEL NORTE, HUMBOLDT, MENDOCINO AND LAKE COUNTIES AT VARIOUS LOCATIONS."
MB000159,1,HUM,96,0.6,0.6,0K020,119000132.0,2017.0,,Major Damage - Emergency Opening (201.130),22,0,100,122,Active,IN HUMBOLDT COUNTY NEAR WILLOW CREEK AT THE WILLOW CREEK MAINTENANCE STATION.
MB000160,1,HUM,96,2.0,12.0,0K030,119000133.0,2017.0,,Major Damage - Emergency Opening (201.130),75,0,314,389,Active,IN HUMBOLDT COUNTY NEAR WILLOW CREEK FROM 1.2 MILES WEST OF PIPELINE OC #4-100 TO 0.1 MILE EAST OF PINE CREEK RD.
MB000161,1,HUM,101,77.3,77.3,0J430,119000033.0,2017.0,,Major Damage - Emergency Opening (201.130),5,0,85,90,Active,IN HUMBOLDT COUNTY IN EUREKA AT THE DISTRICT 1 OFFICE.
MB000163,1,HUM,254,6.42,6.42,0J390,119000022.0,2017.0,,Major Damage - Emergency Opening (201.130),75,5,150,230,Active,IN HUMBOLDT COUNTY NEAR MIRANDA AT 0.1 MILE SOUTH OF REDWOOD LANE.
MB000166,1,MEN,20,21.0,23.0,0K040,119000134.0,2017.0,,Major Damage - Emergency Opening (201.130),50,0,200,250,Active,IN MENDOCINO COUNTY NEAR WILLITS FROM 1.0 TO 3.0 MILES EAST OF JAMES CREEK BRIDGE #10-102.
MA000280,1,HUM,101,6.75,33.05,48410,116000076.0,2017.0,,Drainage (201.151),2334,75,1556,3965,Active,MNRA Drainage near Garberville - IN HUMBOLDT COUNTY NEAR GARBERVILLE AT VARIOUS LOCATIONS FROM 0.8 MILE NORTH OF SOUTH FORK EEL RIVER BRIDGE #4-241 TO 0.2 MILE SOUTH OF NEWTON ROAD UNDERCROSSING
MB000285,1,HUM,101,76.3,76.7,0K070,120000003.0,2017.0,,Mobility - Operational Improvements (201.310),5,0,300,305,Active,IN HUMBOLDT COUNTY IN EUREKA FROM HARRIS STREET TO VIGO STREET
MB000286,1,HUM,101,77.3,77.3,0K100,120000009.0,,,Facilities (201.351),0,0,310,310,Active,"In Humboldt County, in Eureka at the Caltrans District 1 Shop. Replace Mechanic's Shop pavement."
MB000287,1,HUM,101,81.0,82.5,0K120,120000029.0,2019.0,,Major Damage - Emergency Opening (201.130),10,0,90,100,Active,IN HUMBOLDT COUNTY NEAR EUREKA FROM 0.1 MI SOUTH OF EUREKA NCL TO 0.5 MI SOUTH OF INDIANOLA CUTOFF.
MB000327,1,HUM,96,38.2,38.5,0K160,120000036.0,2019.0,,Safety - Collision Reduction (201.015),60,190,310,560,Active,Orleans
MB000332,1,HUM,101,77.3,77.3,0K320,120000064.0,2019.0,,Facilities - Office Buildings (201.353),30,0,314,344,Active,IN HUMBOLDT COUNTY IN EUREKA AT THE EUREKA DISTRICT OFFICE
MA000341,1,DN,101,27.5,27.9,0K380,120000070.0,2017.0,,Safety - Collision Reduction (201.015),850,36,1250,2136,Active,"Construct pedestrian path from 'A' Drive on Hwy 101 to Summer Lane on Washington Street, in Crescent City. Construct Pedestrian Path."
MB000342,1,MEN,1,44.37,44.37,0K400,120000078.0,2019.0,,Major Damage - Emergency Opening (201.130),40,0,150,190,Active,Culvert Replacement
MA000344,1,MEN,128,14.04,14.04,40880,,2019.0,,Drainage (201.151),500,2,350,852,Active,Near Boonville___
MA000345,1,MEN,1,84.69,88.95,49620,118000087.0,2019.0,,Drainage (201.151),2698,79,1278,4055,Active,IN MENDOCINO COUNTY NEAR ROCKPORT FROM 1.3 MILES NORTH OF HARDY CREEK BRIDGE #10-141 TO 1.1 MILES SOUTH OF COTTONEVA CREEK BRIDGE #10-142
MB000371,1,HUM,101,89.4,89.4,0K510,120000108.0,2019.0,,Sustainability/Climate Change (201.999),10,50,310,370,Active,In Humboldt Coutny near Arcata at Boyd Draw Bridge #04-85. Construct pedestrian path.
MB000469,1,MEN,101,R90.0,R90.0,0K580,1220000119.0,2019.0,,Mobility - TMS (201.315),10,0,254,264,Active,IN MENDOCINO COUNTY NEAR LEGGETT 1.2 MILES SOUTH OF THE ROUTE 1 JUNCTION.
MB000470,1,MEN,101,R103.4,R103.4,0K590,120000120.0,2019.0,,Mobility - TMS (201.315),10,0,239,249,Active,IN MENDOCINO COUNTY NEAR PIERCY 0.4 MILE NORTH OF TEH PIERCY SEPARATION.
MB000474,1,HUM,101,77.3,77.3,0K530,120000110.0,2019.0,03/24/20,Major Damage - Emergency Opening (201.130),15,0,140,155,Active,IN HUMBOLDT COUNTY IN EUREKA AT THE EUREKA DISTRICT OFFICE.
MA000483,1,HUM,101,77.3,77.3,0G620,117000031.0,,03/28/21,Facilities - Office Buildings (201.353),0,0,0,0,Active,"In Eureka, at the Caltrans District Office. Replace air handler units."
MB000487,1,HUM,299,24.2,24.2,0K600,120000121.0,2019.0,,Major Damage - Emergency Opening (201.130),30,0,220,250,Active,IN HUMBOLDT COUNTY ABOUT 15 MILES WEST OF WILLOW CREEK AT 0.4 MILE WEST OF CHEZEM RD 6L200.
MA000499,1,HUM,101,79.95,83.38,0K630,120000126.0,,,Mobility - ADA (201.361),0,0,1250,1250,Active,"In Humboldt County, in Eureka on Route 101 at PM 79.77/83.79. Construct trail. Financial Contribution Only (FCO) only."
MB000505,1,HUM,101,98.9,99.1,0K670,120000131.0,2019.0,,Safety - Monitoring (201.010),30,0,210,240,Active,IN HUMBOLDT COUNTY NEAR TRINIDAD FROM 0.5 MILE NORTH TO 0.7 MILE NORTH OF SIXTH STREET OC #04-0057
MA000518,1,MEN,1,38.5,74.5,44060,113000105.0,2019.0,,Mobility - Operational Improvements (201.310),1002,17,607,1626,Active,"IN MENDOCINO COUNTY AT VARIOUS LOCATIONS FROM 0.3 MILE SOUTH OF NAVARRO BLUFF ROAD TO 0.5 MILE SOUTH OF BLUE SIDE GULCH BRIDGE. CONSTRUCT TURNOUTS AT FOUR LOCATIONS. PM 38.5 (SB), PM 44.7 (SB), PM 69.1 (SB), PM 74.5 (SB)."
MA000519,1,HUM,101,,,0J000,118000145.0,2021.0,,Facilities - Office Buildings (201.353),440,126,1059,1625,Active,CONSTRUCT NEW PARKING PLACES AT THE DISTRICT 1 OFFICE. IN HUMBOLDT COUNTY IN EUREKA IN THE ALLEY BETWEEN WABASH & 15TH STREETS
MA000520,1,MEN,1,,,0K170,120000037.0,2023.0,,Drainage (201.151),1,1,1,3,Active,IN MENDOCINO COUNTY NEAR WESTPORT FROM 0.5 MI NORTH OF BLUE SIDE GULCH BRIDGE TO 0.3 MI NORTH OF HARDY CREEK BRIDGE. CULVERT REHABILITATION.
MA000521,1,HUM,283,,,0J820,119000105.0,2021.0,,Bridge (201.113),1715,0,1171,2886,Active,"IN HUMBOLDT AND MENDOCINO COUNTIES AT VARIOUS LOCATIONS. HUM 283 PM 0.13/0.36, MEN 271 PM 4.92, MEN 271 PM 4.92. SEISMIC GATES."
MA000526,1,LAK,29,10.08,10.88,0H220,117000138.0,2017.0,,Roadside (201.235),815,20,1370,2205,Active,IN LAKE COUNTY FROM 0.3 MILE TO 1.2 MILES NORTH OF PUTAH CREEK BRIDGE
MB000528,1,HUM,255,7.57,7.57,0K700,120000136.0,2019.0,,Major Damage - Emergency Opening (201.130),40,0,200,240,Active,IN HUMBOLDT COUNTY NEAR ARCATA AT V STREET â RD C3L010.
MB000696,1,MEN,1,,,0K720,121000001.0,,,Drainage (201.151),45,15,300,360,Active,"In Mendocino County near Rockport at 2 miles north of Usal Road. Fish passage, replace weirs."
MB000740,1,MEN,128,24.33,R25.76,0K740,121000004.0,,08/17/20,Major Damage - Emergency Opening (201.130),0,0,0,0,Active,IN MENDOCINO COUNTY NEAR PHILO FROM 0.2 MI EAST OF EAST LIMITS PHILO TO 0.6 MI WEST OF PEACHLAND ROAD.
MB000767,1,MEN,162,23.31,23.31,0K820,121000013.0,,,Major Damage - Emergency Opening (201.130),5,0,250,255,Active,Culvert Replacement
MB000819,1,MEN,162,21.16,21.16,0K910,121000026.0,,,Major Damage - Emergency Opening (201.130),3,0,175,178,Active,Culvert Replacement
MA000827,1,HUM,96,,,0F920,116000093.0,,,Advance Mitigation/Mitigation (201.240),338,0,965,1303,Active,In Humboldt County near Orleans at 1.2 miles west of Siskiyou County line. Repair Disposal Site.
MB000831,1,HUM,101,,,0K920,121000028.0,,,Mobility - ADA (201.378),30,0,333,363,Active,In Humboldt County in Eureka from Henderson Street to Washington Street. Install midblock pedestrian crossings.
MB000843,1,MEN,101,R43.0,R45.0,0K930,121000032.0,,,Major Damage - Emergency Opening (201.130),0,0,40,40,Active,Washout/Sideslope Damage Repair
MB000865,1,LAK,20,17.2,17.3,0K990,121000039.0,,,Safety - Collision Reduction (201.015),20,0,76,96,Active,In Lake County on Route 20 at Lucerne Creek RCB/Upgrade guardrail
MB000873,1,DN,101,25.84,27.01,0K750,121000006.0,,,Major Damage - Emergency Opening (201.130),5,0,300,305,Active,"IN DEL NORTE, HUMBOLDT, MENDOCINO, AND LAKE COUNTIES ON VARIOUS ROUTES AND AT VARIOUS LOCATIONS."
MB000877,1,DN,199,,,0L050,121000047.0,,,Safety - Collision Reduction (201.015),20,0,330,350,Active,In Del Norte County from Hardscrabble Creek Bridge to 0.5 mile north of Hardscrabble Creek Bridge. Place HFST.
MB000970,1,LAK,20,,,0H470,117000227.0,,,Safety - SI (201.010),20,4,168,192,Active,In Lake County near Nice from 0.3 mile west to 0.3 mile east of Pomo Way. Install roadway lighting.
MB001106,1,MEN,128,R28.09,R28.09,0L130,121000074.0,,,Major Damage - Emergency Opening (201.130),0,0,150,150,Active,IN MENDOCINO COUNTY IN BOONVILLE AT THE BOONVILLE MAINTENANCE STATION. Water line fix.
MB001142,1,DN,101,42.01,42.01,0L070,121000057.0,,,Major Damage - Emergency Opening (201.130),5,0,300,305,Active,IN DEL NORTE COUNTY NEAR CRESCENT CITY AT 0.5 MI SOUTH OF LOPEZ AVE-RD 8023. Culvert Replacement.
MB001143,1,MEN,128,35.84,35.84,0L180,121000079.0,,,Major Damage - Emergency Opening (201.130),5,0,300,305,Active,IN MENDOCINO COUNTY NEAR BOONVILLE AT 0.3 MILE WEST OF MAPLE CREEK BRIDGE. Culvert Replacement.
MA001209,1,HUM,96,,,0L200,121000083.0,,,Safety - Collision Reduction (201.015),150,10,1000,1160,Active,"In Humboldt County on Route 96 from Route 299 to the Siskiyou County Line. Upgrade guardrail to current standards, install new guardrail, and remove fixed objects."
MB001230,1,DN,199,9.93,9.93,0L320,121000096.0,,,Major Damage - Emergency Opening (201.130),5,0,300,305,Active,IN DEL NORTE COUNTY NEAR GASQUET AT 400 FT TURNOUT RT
MB001231,1,MEN,1,86.0,88.0,0L330,121000097.0,,,Major Damage - Emergency Opening (201.130),5,0,330,335,Active,IN MENDOCINO COUNTY IN & NEAR ROCKPORT FROM 1.8 MILES SOUTH TO 0.2 MILE NORTH OF S FK COTTONEVA CR BR #10-142
MB001269,1,MEN,162,21.55,21.55,0L340,121000099.0,,,Major Damage - Emergency Opening (201.130),5,0,300,305,Active,IN MENDOCINO COUNTY NEAR DOS RIOS AT 1.7 MILES EAST OF SAND BANK CREEK.
MB001285,1,LAK,20,26.5,28.0,0L350,121000100.0,,,Major Damage - Emergency Opening (201.130),5,0,330,335,Active,IN LAKE COUNTY NEAR CLEARLAKE OAKS FROM LAKEVIEW DRIVE TO FOOTHILL BLVD-RD 208M.
MB001287,1,MEN,1,84.83,84.83,0L360,121000101.0,,,Major Damage - Emergency Opening (201.130),5,0,270,275,Active,IN MENDOCINO COUNTY NEAR ROCKPORT AT 1.1 MILES NORTH OF HARDY CREEK.
MB001292,1,MEN,1,,,0L190,120000080.0,,,Safety - Collision Reduction (201.015),0,0,230,230,Active,
MA001350,1,DN,199,,,0J350,119000014.0,,,Roadside (201.250),493,0,896,1389,Active,Collier Tunnel Rest Area
MB001367,1,MEN,128,,,0L440,122000011.0,,,Major Damage - Emergency Opening (201.130),5,0,250,255,Active,IN MENDOCINO COUNTY NEAR BOONVILLE ON ROUTE 128 FROM .8 MILE WEST OF ORNBAUN CREEK BRIDGE #10-60 TO .5 MILE EAST OF SHEARING CREEK BRIDGE #10-59./CULVERT REPAIR
MB001368,1,MEN,20,,,0L450,122000012.0,,,Major Damage - Emergency Opening (201.130),5,0,333,338,Active,IN MENDOCINO COUNTY NEAR FORT BRAGG ON ROUTE 20 FROM 1 MILE WEST OF FORESTRY STATION RD TO 0.8 MILE EAST OF THREE CHOP ROAD WEST JUNCTION.
MB001405,1,MEN,1,,,0L750,122000043.0,,,Drainage (201.151),0,0,50,50,Active,IN MENDOCINO COUNTY NEAR ROCKPORT AT 1.8 MILES NORTH OF USAL ROAD LEFT. Culvert Failure
MB001415,1,LAK,20,,,0L760,122000044.0,,,Major Damage - Emergency Opening (201.130),135,35,333,503,Active,IN LAKE COUNTY NEAR LUCERNE AT LUCERNE EAST.
MB001416,1,LAK,20,,,0L820,122000051.0,,,Major Damage - Emergency Opening (201.130),5,5,280,290,Active,IN LAKE COUNTY NEAR LUCERNE FROM LINDEN STREET-ROAD 222C TO OAK GROVE AVENUE-ROAD 208C.
MB001417,1,MEN,1,,,0L830,122000052.0,,,Major Damage - Emergency Opening (201.130),3,3,330,336,Active,IN MENDOCINO COUNTY NEAR GUALALA AT THE GUALALA RIVER BRIDGE.
